Value,LastModifiedDateUTC
"Abbeville County, South Carolina",2019-06-04 22:00:14.557
"Acadia Parish, Louisiana",2019-06-04 22:00:14.557
"Accomack County, Virginia",2019-06-04 22:00:14.557
"Ada County, Idaho",2019-06-04 22:00:14.557
"Adair County, Iowa",2019-06-04 22:00:14.557
"Adair County, Kentucky",2019-06-04 22:00:14.557
"Adair County, Missouri",2019-06-04 22:00:14.557
"Adair County, Oklahoma",2019-06-04 22:00:14.557
"Adams County, Colorado",2019-06-04 22:00:14.557
"Adams County, Idaho",2019-06-04 22:00:14.557
"Adams County, Illinois",2019-06-04 22:00:14.557
"Adams County, Indiana",2019-06-04 22:00:14.557
"Adams County, Iowa",2019-06-04 22:00:14.557
"Adams County, Mississippi",2019-06-04 22:00:14.557
"Adams County, Nebraska",2019-06-04 22:00:14.557
"Adams County, North Dakota",2019-06-04 22:00:14.557
"Adams County, Ohio",2019-06-04 22:00:14.557
"Adams County, Pennsylvania",2019-06-04 22:00:14.557
"Adams County, Washington",2019-06-04 22:00:14.557
"Adams County, Wisconsin",2019-06-04 22:00:14.557
"Addison County, Vermont",2019-06-04 22:00:14.557
"Aiken County, South Carolina",2019-06-04 22:00:14.557
"Aitkin County, Minnesota",2019-06-04 22:00:14.557
"Alachua County, Florida",2019-06-04 22:00:14.557
"Alamance County, North Carolina",2019-06-04 22:00:14.557
"Alameda County, California",2019-06-04 22:00:14.557
"Alamosa County, Colorado",2019-06-04 22:00:14.557
"Albany County, New York",2019-06-04 22:00:14.557
"Albany County, Wyoming",2019-06-04 22:00:14.557
"Albemarle County, Virginia",2019-06-04 22:00:14.557
"Alcona County, Michigan",2019-06-04 22:00:14.557
"Alcorn County, Mississippi",2019-06-04 22:00:14.557
"Aleutians East Borough, Alaska",2019-06-04 22:00:14.557
"Aleutians West Census Area, Alaska",2019-06-04 22:00:14.557
"Alexander County, Illinois",2019-06-04 22:00:14.557
"Alexander County, North Carolina",2019-06-04 22:00:14.557
"Alexandria, City of, Virginia",2019-06-04 22:00:14.557
"Alfalfa County, Oklahoma",2019-06-04 22:00:14.557
"Alger County, Michigan",2019-06-04 22:00:14.557
"Allamakee County, Iowa",2019-06-04 22:00:14.557
"Allegan County, Michigan",2019-06-04 22:00:14.557
"Allegany County, Maryland",2019-06-04 22:00:14.557
"Allegany County, New York",2019-06-04 22:00:14.557
"Alleghany County, North Carolina",2019-06-04 22:00:14.557
"Alleghany County, Virginia",2019-06-04 22:00:14.557
